Date,England,North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East,London,South East,South West,Wales,Scotland,Northern Ireland
7/5/2021,2235800,93200,288500,195300,175500,221600,238000,458600,356300,208900,103600,199200,71500
8/5/2021,2233000,92900,288200,195000,175400,221300,237800,457900,355800,208700,103400,198500,71400
9/5/2021,2230700,92900,287200,194800,175200,221300,237700,457700,355700,208300,103300,198300,71300
10/5/2021,2221700,93800,285500,193500,174600,220300,236800,455300,354500,207400,102600,197400,70800
11/5/2021,2219100,93700,285100,193300,174400,220000,236500,454900,354100,207000,102500,197100,70800
12/5/2021,2217600,93600,285000,193300,174200,219800,236400,454600,353900,206800,102500,197100,70700
13/5/2021,2216300,93600,284800,193100,174100,219700,236200,454300,353800,206700,102400,197100,70700
14/5/2021,2213000,93700,284500,192800,173800,219600,235600,453600,353300,206100,102100,196800,70700
15/5/2021,2203200,93100,283000,191600,173200,218300,234900,452200,352000,205000,101400,196000,70500
16/5/2021,2188800,92200,280400,190100,171900,216600,233800,450500,350000,203200,100800,194800,70300
17/5/2021,2134000,89400,271500,183000,167900,212200,228600,442000,341800,197500,98100,192000,69900
18/5/2021,2123200,88900,270100,181900,167000,210900,227500,440700,340100,196100,97700,191500,69900
19/5/2021,2120900,88900,269800,181700,166800,210700,227100,440400,339700,195800,97600,191400,69900
20/5/2021,2118800,88800,269400,181600,166600,210500,226800,440300,339400,195500,97500,191200,69800
21/5/2021,2114400,88700,268700,181000,166200,210200,226300,439500,338800,195000,97300,190900,69700
22/5/2021,2103300,87900,266900,179800,165000,209200,225300,438400,337400,193500,96700,190100,69200
23/5/2021,2097900,87600,265900,179100,164500,208800,224900,438000,336500,192600,96500,189600,68800
24/5/2021,2068400,86200,261600,176200,162100,206000,221400,433700,332200,188900,94600,185800,65000
25/5/2021,2065200,86000,261100,175900,161900,205700,221100,433100,331800,188500,94500,185600,64600
26/5/2021,2062000,85900,260700,175700,161600,205400,220700,432600,331200,188100,94300,185400,64400
27/5/2021,2061300,85800,260400,175500,161500,206400,220500,432300,331000,187900,94200,185000,64200
28/5/2021,2058400,85700,260000,175300,161300,206200,220100,431800,330600,187500,94000,184700,63700
29/5/2021,2031800,83800,255500,172300,157800,202700,218100,429200,327400,185100,92100,180300,61300
30/5/2021,2022400,83100,254200,171000,156000,201700,217300,428200,326500,184400,91500,179300,60800
31/5/2021,1963100,80500,245100,164500,150300,194800,211500,419300,317900,179200,88500,173100,58600
