geo_code,sex,age,White,Mixed,Asian,Black,Other
E06000002,1,47,716,7,83,12,13 
E06000002,1,48,678,11,79,24,7 
E06000002,1,49,646,7,67,15,13 
E06000002,1,50,717,11,69,11,12 
E06000002,1,51,722,12,53,11,18 
E06000002,1,52,822,17,49,7,10 
E06000002,1,53,903,14,57,2,9 
E06000002,1,54,781,7,42,5,5 
E06000002,1,55,800,12,38,5,5 
E06000002,1,56,935,10,26,5,3 
E06000002,1,57,799,5,33,6,5 
E06000002,1,58,780,10,34,7,8 
E06000002,1,59,764,4,26,3,6 
E06000002,1,60,774,9,49,4,2 
E06000002,1,61,748,13,38,3,5 
E06000002,1,62,739,1,22,1,6 
E06000002,1,63,662,7,21,4,4 
E06000002,1,64,634,2,25,1,3 
E06000002,1,65,677,3,25,0,4 
E06000002,1,66,617,1,19,3,3 
E06000002,1,67,589,4,19,3,5 
E06000002,1,68,578,2,17,1,2 
E06000002,1,69,577,2,7,2,1 
E06000002,1,70,648,3,16,3,0 
E06000002,1,71,697,2,8,0,2 
E06000002,1,72,499,1,7,0,3 
E06000002,1,73,494,0,12,0,0 
E06000002,1,74,453,1,10,0,1 
E06000002,1,75,399,0,12,0,1 
E06000002,1,76,394,2,13,1,1 
E06000002,1,77,353,1,10,2,0 
E06000002,1,78,331,0,9,1,1 
E06000002,1,79,330,1,7,1,1 
E06000002,1,80,351,0,13,0,1 
E06000002,1,81,286,1,18,1,1 
E06000002,1,82,279,1,9,1,0 
E06000002,1,83,248,1,11,1,0 
E06000002,1,84,205,1,7,0,0 
E06000002,1,85,196,1,7,0,1 
E06000002,1,86,144,0,6,1,0 
E06000002,1,87,169,1,6,0,3 
E06000002,1,88,114,0,1,0,0 
E06000002,1,89,102,0,3,0,0 
E06000002,1,90,242,2,3,0,0 
E06000003,1,0,666,16,5,3,0 
E06000003,1,1,736,18,6,3,0 
E06000003,1,2,699,17,5,3,0 
E06000003,1,3,727,18,6,3,0 
E06000003,1,4,778,19,6,3,0 
E06000003,1,5,838,21,7,3,0 
E06000003,1,6,880,22,7,3,0 
E06000003,1,7,836,21,6,3,0 
E06000003,1,8,771,28,4,0,1 
E06000003,1,9,773,25,5,0,0 
E06000003,1,10,837,16,4,0,2 
E06000003,1,11,780,14,4,0,0 
E06000003,1,12,836,10,3,0,0 
E06000003,1,13,755,15,8,1,1 
E06000003,1,14,776,20,2,1,1 
E06000003,1,15,687,11,5,1,1 
E06000003,1,16,701,17,9,2,1 
E06000003,1,17,718,12,3,0,1 
E06000003,1,18,758,10,10,2,2 
E06000003,1,19,727,3,0,0,1 
E06000003,1,20,681,5,5,1,0 
E06000003,1,21,691,11,8,0,0 
E06000003,1,22,788,16,10,1,0 
E06000003,1,23,790,13,12,2,1 
E06000003,1,24,814,9,10,2,0 
E06000003,1,25,810,6,5,1,1 
E06000003,1,26,879,3,2,2,0 
E06000003,1,27,781,3,4,0,0 
E06000003,1,28,796,10,3,2,0 
E06000003,1,29,760,4,11,0,1 
E06000003,1,30,730,4,8,3,1 
E06000003,1,31,809,1,10,3,3 
E06000003,1,32,735,5,16,2,2 
E06000003,1,33,743,1,9,2,4 
E06000003,1,34,707,6,15,1,2 
E06000003,1,35,677,8,10,1,0 
E06000003,1,36,661,5,13,3,3 
E06000003,1,37,710,9,13,0,3 
E06000003,1,38,709,4,3,3,3 
E06000003,1,39,621,2,10,5,2 
E06000003,1,40,628,4,6,0,3 
E06000003,1,41,598,5,4,5,1 
E06000003,1,42,664,6,7,1,0 
E06000003,1,43,638,3,8,1,2 
E06000003,1,44,690,0,1,1,0 
E06000003,1,45,735,6,9,0,2 
E06000003,1,46,812,7,13,0,0 
E06000003,1,47,819,3,3,0,1 
E06000003,1,48,849,4,4,2,3 
E06000003,1,49,922,1,4,3,2 
E06000003,1,50,862,4,11,0,3 
E06000003,1,51,940,2,8,3,3 
E06000003,1,52,1033,3,6,2,0 
E06000003,1,53,947,3,2,0,0 
E06000003,1,54,1025,5,6,1,0 
E06000003,1,55,1049,6,6,0,2 
E06000003,1,56,987,7,3,0,1 
E06000003,1,57,936,4,1,1,2 
E06000003,1,58,932,5,2,5,0 
E06000003,1,59,942,1,4,0,1 
E06000003,1,60,930,2,2,0,3 
E06000003,1,61,854,3,5,1,2 
E06000003,1,62,853,0,5,1,2 
E06000003,1,63,778,2,3,0,1 
E06000003,1,64,818,0,4,1,0 
E06000003,1,65,773,1,2,0,0 
E06000003,1,66,753,1,3,0,0 
E06000003,1,67,797,2,3,0,0 
E06000003,1,68,765,0,2,0,1 
E06000003,1,69,823,0,1,0,1 
E06000003,1,70,854,3,2,1,0 
E06000003,1,71,945,1,1,0,0 
E06000003,1,72,743,3,4,0,1 
E06000003,1,73,739,3,0,0,0 
E06000003,1,74,685,1,1,0,0 
E06000003,1,75,603,3,1,0,1 
E06000003,1,76,579,0,1,0,0 
E06000003,1,77,551,1,1,1,0 
E06000003,1,78,505,1,2,1,1 
E06000003,1,79,503,2,2,0,1 
E06000003,1,80,470,0,1,0,0 
E06000003,1,81,426,0,0,0,0 
E06000003,1,82,364,1,1,1,0 
E06000003,1,83,322,0,4,0,0 
E06000003,1,84,262,0,2,0,1 
E06000003,1,85,261,1,0,0,0 
E06000003,1,86,223,1,0,0,0 
E06000003,1,87,178,0,2,0,0 
E06000003,1,88,172,0,0,0,0 
E06000003,1,89,109,0,0,0,0 
E06000003,1,90,418,1,1,0,0 
E06000004,1,0,979,41,54,18,4 
E06000004,1,1,1049,43,57,19,5 
E06000004,1,2,1083,45,59,20,5 
E06000004,1,3,1158,48,63,21,5 
E06000004,1,4,1165,48,64,22,5 
E06000004,1,5,1181,49,64,22,5 
E06000004,1,6,1178,49,64,22,5 
E06000004,1,7,1232,51,67,23,5 
E06000004,1,8,1232,61,57,15,1 
E06000004,1,9,1220,26,57,18,6 
E06000004,1,10,1187,43,48,27,9 
E06000004,1,11,1164,43,48,18,4 
E06000004,1,12,1139,31,72,11,8 
E06000004,1,13,1073,26,50,26,3 
E06000004,1,14,1098,29,50,12,4 
E06000004,1,15,1063,33,50,11,2 
E06000004,1,16,1011,29,63,8,1 
E06000004,1,17,1051,14,35,9,5 
E06000004,1,18,1047,25,74,14,9 
E06000004,1,19,1023,33,51,5,1 
E06000004,1,20,987,26,47,7,4 
E06000004,1,21,1035,15,37,6,2 
E06000004,1,22,1058,13,51,9,5 
E06000004,1,23,1200,22,40,3,2 
E06000004,1,24,1244,19,57,11,3 
E06000004,1,25,1185,20,58,11,3 
E06000004,1,26,1305,16,66,18,7 
E06000004,1,27,1216,19,95,21,4 
E06000004,1,28,1186,20,90,7,8 
E06000004,1,29,1158,14,68,15,5 
E06000004,1,30,1190,27,54,3,5 
E06000004,1,31,1184,22,66,9,5 
E06000004,1,32,1262,18,66,16,18 
E06000004,1,33,1234,17,58,4,14 
E06000004,1,34,1175,13,67,10,9 
E06000004,1,35,1135,14,65,9,12 
E06000004,1,36,1162,14,88,7,5 
E06000004,1,37,1044,15,72,15,12 
E06000004,1,38,1195,17,68,10,12 
E06000004,1,39,1041,15,73,12,8 
E06000004,1,40,937,18,66,10,15 
E06000004,1,41,953,14,64,10,8 
E06000004,1,42,969,6,72,5,9 
E06000004,1,43,973,7,55,14,6 
E06000004,1,44,1039,6,57,12,2 
E06000004,1,45,1090,6,57,19,7 
E06000004,1,46,1248,5,60,13,6 
E06000004,1,47,1263,3,65,14,4 
E06000004,1,48,1235,9,60,9,5 
E06000004,1,49,1232,8,52,6,9 
E06000004,1,50,1328,8,51,8,3 
E06000004,1,51,1349,5,43,11,3 
E06000004,1,52,1302,10,39,7,6 
E06000004,1,53,1341,14,26,3,5 
E06000004,1,54,1271,7,41,4,5 
E06000004,1,55,1330,7,23,3,3 
E06000004,1,56,1384,3,28,5,2 
E06000004,1,57,1252,4,39,5,2 
E06000004,1,58,1217,4,26,1,8 
E06000004,1,59,1233,4,30,3,3 
E06000004,1,60,1209,8,23,2,4 
E06000004,1,61,1210,2,25,0,3 
E06000004,1,62,1086,3,24,3,0 
E06000004,1,63,1002,1,28,2,1 
E06000004,1,64,1043,2,25,3,1 
E06000004,1,65,1086,1,25,3,5 
E06000004,1,66,994,6,16,1,3 
E06000004,1,67,936,4,18,4,4 
E06000004,1,68,1013,2,13,4,2 
E06000004,1,69,1015,2,11,1,3 
E06000004,1,70,1019,1,18,0,1 
E06000004,1,71,1079,0,7,1,1 
E06000004,1,72,810,2,7,0,1 
E06000004,1,73,763,2,5,1,1 
E06000004,1,74,792,1,13,0,0 
E06000004,1,75,651,3,8,0,1 
E06000004,1,76,623,0,5,1,1 
E06000004,1,77,596,3,7,0,1 
E06000004,1,78,510,0,6,0,0 
E06000004,1,79,555,1,12,1,1 
E06000004,1,80,527,0,7,1,0 
E06000004,1,81,450,0,3,0,0 
E06000004,1,82,409,3,3,0,1 
E06000004,1,83,397,2,4,1,0 
E06000004,1,84,299,1,4,0,0 
E06000004,1,85,304,1,2,0,0 
E06000004,1,86,301,0,3,0,1 
E06000004,1,87,239,0,2,0,0 
E06000004,1,88,182,1,1,0,0 
E06000004,1,89,153,0,3,0,0 
E06000004,1,90,446,1,2,0,0 
E06000005,1,0,540,17,18,3,3 
E06000005,1,1,504,16,16,2,2 
E06000005,1,2,586,18,19,3,3 
E06000005,1,3,590,18,19,3,3 
E06000005,1,4,631,20,21,3,3 
E06000005,1,5,641,20,21,3,3 
E06000005,1,6,625,19,20,3,3 
E06000005,1,7,609,19,20,3,3 
E06000005,1,8,639,22,23,2,2 
E06000005,1,9,675,18,10,0,1 
E06000005,1,10,558,24,17,1,4 
E06000005,1,11,599,16,19,2,0 
E06000005,1,12,625,13,20,1,3 
E06000005,1,13,609,16,17,3,5 
E06000005,1,14,633,16,16,4,2 
E06000005,1,15,605,14,14,3,1 
E06000005,1,16,574,21,8,0,3 
E06000005,1,17,502,20,13,2,0 
E06000005,1,18,574,12,15,2,0 
E06000005,1,19,489,7,7,1,0 
E06000005,1,20,442,6,8,2,0 
E06000005,1,21,481,12,11,1,1 
E06000005,1,22,475,10,8,1,4 
E06000005,1,23,593,5,19,2,0 
E06000005,1,24,606,17,22,3,0 
E06000005,1,25,486,10,10,2,2 
E06000005,1,26,609,7,8,1,1 
E06000005,1,27,596,11,13,0,4 
E06000005,1,28,565,14,7,0,3 
E06000005,1,29,606,9,7,1,1 
E06000005,1,30,645,15,15,2,2 
E06000005,1,31,612,8,21,4,5 
E06000005,1,32,577,7,15,0,4 
E06000005,1,33,582,4,19,1,6 
E06000005,1,34,602,11,19,1,2 
E06000005,1,35,560,9,34,4,3 
E06000005,1,36,603,8,12,2,3 
E06000005,1,37,663,6,28,4,6 
E06000005,1,38,611,10,26,5,1 
E06000005,1,39,631,13,23,1,6 
E06000005,1,40,527,3,36,6,1 
E06000005,1,41,588,6,15,6,10 
E06000005,1,42,529,7,23,2,4 
E06000005,1,43,596,5,31,5,2 
E06000005,1,44,600,3,14,3,4 
E06000005,1,45,610,8,23,2,2 
E06000005,1,46,683,9,17,7,1 
E06000005,1,47,708,6,17,1,3 
E06000005,1,48,734,7,22,4,5 
E06000005,1,49,737,5,11,3,2 
E06000005,1,50,701,4,10,1,0 
E06000005,1,51,740,5,9,3,2 
E06000005,1,52,784,5,17,4,6 
E06000005,1,53,797,6,15,5,3 
E06000005,1,54,711,2,6,6,1 
E06000005,1,55,796,4,14,4,2 
E06000005,1,56,757,2,19,0,0 
E06000005,1,57,722,3,10,3,3 
E06000005,1,58,634,6,12,4,1 
E06000005,1,59,671,1,22,1,4 
E06000005,1,60,658,6,10,2,2 
E06000005,1,61,583,2,12,1,1 
E06000005,1,62,596,2,11,4,2 
E06000005,1,63,592,2,4,4,1 
E06000005,1,64,591,3,10,2,1 
E06000005,1,65,597,0,9,1,1 
E06000005,1,66,552,1,7,2,0 
E06000005,1,67,539,2,5,0,1 
E06000005,1,68,535,0,7,3,2 
E06000005,1,69,640,0,4,0,0 
E06000005,1,70,604,1,4,0,0 
E06000005,1,71,644,2,5,0,1 
E06000005,1,72,506,1,4,1,1 
E06000005,1,73,514,0,3,1,0 
E06000005,1,74,444,2,6,0,0 
E06000005,1,75,415,0,3,4,2 
E06000005,1,76,384,1,3,1,0 
E06000005,1,77,335,1,2,2,0 
E06000005,1,78,350,2,4,1,1 
E06000005,1,79,366,1,2,2,1 
E06000005,1,80,322,0,3,2,1 
E06000005,1,81,278,1,4,1,1 
E06000005,1,82,255,1,2,0,0 
E06000005,1,83,247,1,0,1,0 
E06000005,1,84,215,2,3,1,1 
E06000005,1,85,202,0,0,0,0 
E06000005,1,86,165,0,2,0,0 
E06000005,1,87,134,1,1,1,0 
E06000005,1,88,106,0,0,0,0 
E06000005,1,89,89,0,0,0,0 
E06000005,1,90,335,1,0,1,0 
E06000006,1,0,718,31,7,2,0 
E06000006,1,1,724,31,7,2,0 
E06000006,1,2,745,32,7,2,0 
E06000006,1,3,782,34,7,2,0 
E06000006,1,4,782,34,7,2,0 
E06000006,1,5,808,35,8,2,0 
E06000006,1,6,842,36,8,2,0 
E06000006,1,7,821,35,8,2,0 
E06000006,1,8,825,28,7,0,0 
E06000006,1,9,801,24,9,6,0 
E06000006,1,10,858,8,10,0,0 
E06000006,1,11,811,30,8,7,0 
E06000006,1,12,857,35,3,1,0 
E06000006,1,13,787,13,5,0,0 
