geo_code,LAD11NM,RUC11CD,RUC11,Rural population1,Hub towns (rural related) population1,Rural including hub towns (rural & rural related) population1, Total population1,Rural including hub towns (rural & rural related) population1 
E09000024,Merton,6,Urban with Major Conurbation,0.00,0.00,0.00,199693.00,0
E09000025,Newham,6,Urban with Major Conurbation,0.00,0.00,0.00,307984.00,0
E09000026,Redbridge,6,Urban with Major Conurbation,0.00,0.00,0.00,278970.00,0
E09000027,Richmond upon Thames,6,Urban with Major Conurbation,0.00,0.00,0.00,186990.00,0
E09000028,Southwark,6,Urban with Major Conurbation,0.00,0.00,0.00,288283.00,0
E09000029,Sutton,6,Urban with Major Conurbation,0.00,0.00,0.00,190146.00,0
E09000030,Tower Hamlets,6,Urban with Major Conurbation,0.00,0.00,0.00,254096.00,0
E09000031,Waltham Forest,6,Urban with Major Conurbation,0.00,0.00,0.00,258249.00,0
E09000032,Wandsworth,6,Urban with Major Conurbation,0.00,0.00,0.00,306995.00,0
E41000324,Westminster,6,Urban with Major Conurbation,0.00,0.00,0.00,219396.00,0
