geo_code,LAD11NM,RUC11CD,RUC11,Rural population1,Hub towns (rural related) population1,Rural including hub towns (rural & rural related) population1, Total population1,Rural including hub towns (rural & rural related) population1 
E08000003,Manchester,6,Urban with Major Conurbation,103.00,0.00,103.00,503127.00,0
E08000004,Oldham,6,Urban with Major Conurbation,2657.00,0.00,2657.00,224897.00,1.2
E08000005,Rochdale,6,Urban with Major Conurbation,2577.00,0.00,2577.00,211699.00,1.2
E08000006,Salford,6,Urban with Major Conurbation,284.00,0.00,284.00,233933.00,0.1
E08000007,Stockport,6,Urban with Major Conurbation,1249.00,0.00,1249.00,283275.00,0.4
E08000008,Tameside,6,Urban with Major Conurbation,645.00,0.00,645.00,219324.00,0.3
E08000009,Trafford,6,Urban with Major Conurbation,824.00,0.00,824.00,226578.00,0.4
E08000010,Wigan,6,Urban with Major Conurbation,11556.00,0.00,11556.00,317849.00,3.6
E08000011,Knowsley,6,Urban with Major Conurbation,993.00,0.00,993.00,145893.00,0.7
E08000012,Liverpool,6,Urban with Major Conurbation,0.00,0.00,0.00,466415.00,0
E08000013,St. Helens,6,Urban with Major Conurbation,9729.00,0.00,9729.00,175308.00,5.5
E08000014,Sefton,6,Urban with Major Conurbation,3979.00,0.00,3979.00,273790.00,1.5
E08000015,Wirral,6,Urban with Major Conurbation,3538.00,0.00,3538.00,319783.00,1.1
E08000016,Barnsley,5,Urban with Minor Conurbation,24173.00,0.00,24173.00,231221.00,10.5
E08000017,Doncaster,5,Urban with Minor Conurbation,42162.00,17295.00,59457.00,302402.00,19.7
E08000018,Rotherham,5,Urban with Minor Conurbation,26103.00,0.00,26103.00,257280.00,10.1
E08000019,Sheffield,5,Urban with Minor Conurbation,9690.00,13069.00,22759.00,552698.00,4.1
E08000020,Gateshead,6,Urban with Major Conurbation,16063.00,0.00,16063.00,200214.00,8
E08000021,Newcastle upon Tyne,6,Urban with Major Conurbation,5733.00,0.00,5733.00,280177.00,2
E08000022,North Tyneside,6,Urban with Major Conurbation,8523.00,0.00,8523.00,200801.00,4.2
E08000023,South Tyneside,6,Urban with Major Conurbation,601.00,0.00,601.00,148127.00,0.4
E08000024,Sunderland,6,Urban with Major Conurbation,1493.00,0.00,1493.00,275506.00,0.5
E08000025,Birmingham,6,Urban with Major Conurbation,553.00,0.00,553.00,1073045.00,0.1
E08000026,Coventry,4,Urban with City and Town,565.00,0.00,565.00,316960.00,0.2
E08000027,Dudley,6,Urban with Major Conurbation,276.00,0.00,276.00,312925.00,0.1
E08000028,Sandwell,6,Urban with Major Conurbation,0.00,0.00,0.00,308063.00,0
E08000029,Solihull,6,Urban with Major Conurbation,20398.00,0.00,20398.00,206674.00,9.9
E08000030,Walsall,6,Urban with Major Conurbation,3005.00,0.00,3005.00,269323.00,1.1
E08000031,Wolverhampton,6,Urban with Major Conurbation,0.00,0.00,0.00,249470.00,0
E08000032,Bradford,6,Urban with Major Conurbation,35828.00,14809.00,50637.00,522452.00,9.7
E08000033,Calderdale,6,Urban with Major Conurbation,39226.00,11690.00,50916.00,203826.00,25
E08000034,Kirklees,6,Urban with Major Conurbation,48918.00,0.00,48918.00,422458.00,11.6
E08000035,Leeds,6,Urban with Major Conurbation,43035.00,13572.00,56607.00,751485.00,7.5
E08000036,Wakefield,4,Urban with City and Town,57828.00,18899.00,76727.00,325837.00,23.5
E41000324,City of London,6,Urban with Major Conurbation,0.00,0.00,0.00,7375.00,0
E09000002,Barking and Dagenham,6,Urban with Major Conurbation,0.00,0.00,0.00,185911.00,0
E09000003,Barnet,6,Urban with Major Conurbation,0.00,0.00,0.00,356386.00,0
E09000004,Bexley,6,Urban with Major Conurbation,152.00,0.00,152.00,231997.00,0.1
E09000005,Brent,6,Urban with Major Conurbation,0.00,0.00,0.00,311215.00,0
E09000006,Bromley,6,Urban with Major Conurbation,3455.00,0.00,3455.00,309392.00,1.1
